Banco;id;title;text;url;media_id;published_on;created_at;user;user_id;user_image;attached_image_url;social_media;social_media_custom_name;search_term;polarization;reach;latitude;longitude;gender
Brasil;1;Instagram (comment);Once upon a time Tom Brady finished the magic.;http://www.instagram.com/p/BezHL_GF2IG/#17907492193123685;17907492193123685;2018-02-05 01:17:08 -0200;2018-02-05 01:18:29 -0200;laiseandersons2;248900243;https://scontent.cdninstagram.com/vp/3e9909dd3b58e1c274ec9639a9397ef7/5B1A3219/t51.2885-19/s150x150/20635015_341469056290233_1478349733515755520_a.jpg;;instagram_public_user;NFL;;neutra;1;;;
Brasil;2;Twitter - Palavra chave;RT @NFLBrasil: Assim foi a montagem e desmontagem do palco para o show do intervalo do Justin Timberlake! :scream: #NFLBrasil #SuperBowl https://t?;http://twitter.com/mashloca/statuses/960351490920599552;960351490920599552;2018-02-05 01:16:52 -0200;2018-02-05 01:19:49 -0200;mashloca;568380034;https://pbs.twimg.com/profile_images/938973413384867841/P37FqHhx_normal.jpg;;twitter;;@NFLBrasil;neutra;3249;;;
Brasil;3;Twitter - Palavra chave;RT @NFLBrasil: Para os que n∆o viram: aqui est† o show COMPLETO do Justin Timberlake no #SuperBowl! :boom::microphone::football: #NFLBrasil https://t.co/gkOPwSHqRq;http://twitter.com/reedusttan/statuses/960351485530984449;960351485530984449;2018-02-05 01:16:51 -0200;2018-02-05 01:19:50 -0200;reedusttan;136032064;https://pbs.twimg.com/profile_images/960275161374216192/vMeWm2kd_normal.jpg;https://pbs.twimg.com/media/DVPL8KHVwAE-OaH.jpg;twitter;;@NFLBrasil;neutra;3424;;;F
Brasil;4;Twitter - Palavra chave;RT @thiagoromariz: ARALHO VAI TER CLOVERFIELD NOVO NA NETFLIX DEPOIS DO SUPERBOWL;http://twitter.com/rssncm/statuses/960351480925622272;960351480925622272;2018-02-05 01:16:50 -0200;2018-02-05 01:33:59 -0200;rssncm;885544118142865408;https://pbs.twimg.com/profile_images/958397452591255557/jR-tmjaK_normal.jpg;;twitter;;superbowl;neutra;193;-7.6279977;-72.6761487;M
Brasil;5;Twitter - Palavra chave;MI SANGRE µGUILA ?? ESTµ QUE ARRRRRDE #SuperBowl;http://twitter.com/AlexLoga/statuses/960351480875069441;960351480875069441;2018-02-05 01:16:50 -0200;2018-02-05 01:34:00 -0200;AlexLoga;830357324669865986;https://pbs.twimg.com/profile_images/940583078921166849/wz3gYfpN_normal.jpg;;twitter;;superbowl;neutra;815;23.634501;-102.552784;
Brasil;6;Twitter - Palavra chave;@essediafoilouco se super bowl fosse bom se chamaria final de libertadores!;http://twitter.com/Francisyrius13/statuses/960351479273082881;960351479273082881;2018-02-05 01:16:49 -0200;2018-02-05 01:24:31 -0200;Francisyrius13;870824389260046338;https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png;;twitter;;"""super bowl""";neutra;8;;;
Brasil;7;Twitter - Palavra chave;RT @garciajulia: Minha amiga falando do Super Bowl: ?hj Ç o dia que todo mundo vira f∆ de futebol americano desde sempre?!? Hahdjdnajsjsja;http://twitter.com/luzofusquei/statuses/960351476861341696;960351476861341696;2018-02-05 01:16:49 -0200;2018-02-05 01:24:32 -0200;luzofusquei;754531615855022084;https://pbs.twimg.com/profile_images/958139480195653632/smu-8-Dl_normal.jpg;;twitter;;"""super bowl""";neutra;89;15.870032;100.992541;
Brasil;8;Twitter - Palavra chave;vai dia volta dia brady continua goat, mesmo depois desse sack ridiculo #superbowl;http://twitter.com/MilaniJJ/statuses/960351479835037696;960351479835037696;2018-02-05 01:16:49 -0200;2018-02-05 01:34:00 -0200;MilaniJJ;3377997089;https://pbs.twimg.com/profile_images/918673622209789952/fICnaiCQ_normal.jpg;;twitter;;superbowl;neutra;355;;;F
Brasil;9;Twitter - Palavra chave;Que jogo Ç esse mano   #SuperBowl;http://twitter.com/HenriqueRocha95/statuses/960351476169281536;960351476169281536;2018-02-05 01:16:49 -0200;2018-02-05 01:34:02 -0200;HenriqueRocha95;813904964217143297;https://pbs.twimg.com/profile_images/951935331288473600/uw2UKCsm_normal.jpg;;twitter;;superbowl;neutra;32;-23.4209995;-51.9330558;M
Brasil;10;Twitter - Palavra chave;RT @gamemodeARTP0P: Posso falar?Ate o Hino Nacional que a Gaga cantou em 2016, foi melhor que o #Superbowl do Timberlake. https://t.co/mPs5?;http://twitter.com/IgorSantosi7/statuses/960351478983610368;960351478983610368;2018-02-05 01:16:49 -0200;2018-02-05 01:34:01 -0200;IgorSantosi7;1033774442;https://pbs.twimg.com/profile_images/833878505783975937/3SCb5rJ9_normal.jpg;;twitter;;superbowl;negativa;366;-14.235004;-51.92528;M
Brasil;11;Twitter - Palavra chave;RT @Esp_Interativo: O @Eagles Tµ MUITO PERTO DE UMA VIT‡RIA HIST‡RICA!   #SuperBowl  #FlyEaglesFly https://t.co/DJKZOq7bAP;http://twitter.com/lucaspaes96/statuses/960351476769083392;960351476769083392;2018-02-05 01:16:49 -0200;2018-02-05 01:34:01 -0200;lucaspaes96;336179146;https://pbs.twimg.com/profile_images/901447230984527872/dFXcs1F0_normal.jpg;https://pbs.twimg.com/tweet_video_thumb/DVPZu1tW0AA0kTG.jpg;twitter;;superbowl;positiva;287;-8.761160499999999;-63.9004303;M
Brasil;12;Twitter - Palavra chave;@chrismiIesreaI Ent∆o meu aviro Eagles e o melhor time pq eles s∆o incr°veis e hj a noite eles deixaram o t°tulo de azaraoes pra tr†s e ganharam o super bowl;http://twitter.com/Kyliebabygirll/statuses/960351473656827904;960351473656827904;2018-02-05 01:16:48 -0200;2018-02-05 01:24:33 -0200;Kyliebabygirll;958903402754465792;https://pbs.twimg.com/profile_images/959231078924996609/4ZUE9uOA_normal.jpg;;twitter;;"""super bowl""";positiva;26;37.09024;-95.712891;
Brasil;13;Twitter - Palavra chave;SUPERBOWL INêDITO PARA OS EAGLES!!!! #SuperBowlnaESPN #SuperBowl;http://twitter.com/fabiomoraes/statuses/960351475800133632;960351475800133632;2018-02-05 01:16:48 -0200;2018-02-05 01:34:03 -0200;fabiomoraes;14692201;https://pbs.twimg.com/profile_images/869080089945919488/XHd2pI0f_normal.jpg;;twitter;;superbowl;positiva;2207;;;M
Brasil;14;Twitter - Palavra chave;RT @TatianeTavaresF: S¢ consigo pensar que amanh∆ tem aula e eu estou aqui vendo isso.... Oh lord! Wtf! #SuperBowl;http://twitter.com/HeiressFromHell/statuses/960351475116408834;960351475116408834;2018-02-05 01:16:48 -0200;2018-02-05 01:34:03 -0200;HeiressFromHell;755204771028557824;https://pbs.twimg.com/profile_images/960301960409821185/BvmHWweB_normal.jpg;;twitter;;superbowl;positiva;39;61.52401;105.318756;F
Brasil;15;Twitter - Palavra chave;RT @essediafoilouco: Esse #SuperBowl seria melhor se tivesse:  - cachorro em campo - escanteio com escudo da PM - sinalizador - t£nel infl†?;http://twitter.com/mv6ix/statuses/960351474965458945;960351474965458945;2018-02-05 01:16:48 -0200;2018-02-05 01:34:04 -0200;mv6ix;796078858973888513;https://pbs.twimg.com/profile_images/960286314682814467/71pCabGQ_normal.jpg;;twitter;;superbowl;positiva;616;20.593684;78.96288;
Brasil;16;Twitter - Palavra chave;RT @Isa_balla: Desculpa o atraso, tì trabalhando cansada assim pq ontem fiquei assistindo #SuperBowl atÇ tarde;http://twitter.com/ElenaPraieiro/statuses/960351472054620161;960351472054620161;2018-02-05 01:16:48 -0200;2018-02-05 01:34:06 -0200;ElenaPraieiro;2899854106;https://pbs.twimg.com/profile_images/939288325856296961/yH5jgOWg_normal.jpg;;twitter;;superbowl;negativa;131;;;
Brasil;17;Twitter - Palavra chave;Se fosse qualquer outro jogador... o advers†rio j† estaria comemorando. #superbowl;http://twitter.com/brunofa/statuses/960351472176304134;960351472176304134;2018-02-05 01:16:48 -0200;2018-02-05 01:34:05 -0200;brunofa;37474046;https://pbs.twimg.com/profile_images/800056088016125952/X8loM5Nk_normal.jpg;;twitter;;superbowl;negativa;340;-3.7318616;-38.5266704;M
Brasil;18;Twitter - Palavra chave;RT @SeriesBrasil: Daqui a pouco depois do #SuperBowl tem a sÇrie de drama do milànio, pode entrar #ThisIsUs https://t.co/iPIXMOpuUT;http://twitter.com/ggustxvo/statuses/960351474051158016;960351474051158016;2018-02-05 01:16:48 -0200;2018-02-05 01:34:04 -0200;ggustxvo;777012986;https://pbs.twimg.com/profile_images/925183796814778368/u3Oyls8M_normal.jpg;https://pbs.twimg.com/tweet_video_thumb/DVPB3tOWkAA5ZIK.jpg;twitter;;superbowl;negativa;477;;;M
Brasil;19;Twitter - Palavra chave;RT @forumpandlr: N∆o vou mentir que esperava mais. Lady Gaga tambÇm usou palco mas foi muito alÇm disso. #SuperBowl #SuperBowlNaESPN https:?;http://twitter.com/maubitencourt/statuses/960351475259109377;960351475259109377;2018-02-05 01:16:48 -0200;2018-02-05 01:34:03 -0200;maubitencourt;284775148;https://pbs.twimg.com/profile_images/950972581011652609/kyoSEeL2_normal.jpg;;twitter;;superbowl;negativa;2676;-27.0245779;-48.6508147;
Brasil;20;Twitter - Palavra chave;RT @bchartsnet: Mesmo ap¢s 1 ano, Halftime Show do #SuperBowl de Lady Gaga continua sendo aclamado: ?Deveriam trazer Lady Gaga de volta tod?;http://twitter.com/FCM0THERM0NSTER/statuses/960351473786900480;960351473786900480;2018-02-05 01:16:48 -0200;2018-02-05 01:24:33 -0200;FCM0THERM0NSTER;1632003612;https://pbs.twimg.com/profile_images/908788325795942400/efpIHcaC_normal.jpg;;twitter;;"""super bowl""";negativa;1877;-23.5505199;-46.63330939999999;
Brasil;21;Twitter - Palavra chave;RT @NFLBrasil: Para os que n∆o viram: aqui est† o show COMPLETO do Justin Timberlake no #SuperBowl! :boom::microphone::football: #NFLBrasil https://t.co/gkOPwSHqRq;http://twitter.com/carolnmorais_/statuses/960351474495737858;960351474495737858;2018-02-05 01:16:48 -0200;2018-02-05 01:19:52 -0200;carolnmorais_;342042025;https://pbs.twimg.com/profile_images/934609436022394880/RygRKrMF_normal.jpg;https://pbs.twimg.com/media/DVPL8KHVwAE-OaH.jpg;twitter;;@NFLBrasil;neutra;2400;-18.512178;-44.5550308;F
Brasil;22;Twitter - Palavra chave;Taylor super bowl 2019 mata o est†dio inteiro ao cantar look what you made me do;http://twitter.com/drive12s/statuses/960351474386522112;960351474386522112;2018-02-05 01:16:48 -0200;2018-02-05 01:24:32 -0200;drive12s;725058349;https://pbs.twimg.com/profile_images/959993062444421121/FWEvL39m_normal.jpg;;twitter;;"""super bowl""";neutra;12105;;;
Brasil;23;Twitter - Palavra chave;RT @victoroliveira: que super bowl o que a kylie jenner finalmente assumiu que tava gravida, a menina nasceu no dia 1;http://twitter.com/thaisbarros_/statuses/960351469043109888;960351469043109888;2018-02-05 01:16:47 -0200;2018-02-05 01:24:34 -0200;thaisbarros_;809858360;https://pbs.twimg.com/profile_images/951847580014645249/uumCgBj-_normal.jpg;;twitter;;"""super bowl""";neutra;281;;;
